"Periodo","SO2ppb","Valor"
"1999","16.7","43.73062"
"2000","16.6","43.46876"
"2001","12.6","32.99436"
"2002","11.1","29.06646"
"2003","10.5","27.4953"
"2004","13.1","34.30366"
"2005","9","23.5674"
"2006","6.1","15.97346"
"2007","6.8","17.80648"
"2008","9.2","24.09112"
"2009","9.2","24.09112"
"2010","3.8","9.95068"
"2011","3.7","9.68882"
"2012","2.7","7.07022"
"2013","3.3","8.64138"
"2014","1.6","4.18976"
"2015","1.3","3.3"
"2016","1.5","3.9"
"2017","2.3","6.022"
"2018","1.6","4.18"
"2019","2.3","5.4"
"2020","1.8","4.7"
"2021","2","5.33"
