Año;Mes;Casos Dengue;ENOS C
2009;Enero;127;Niña
2009;Febrero;36;Niña
2009;Marzo;26;Niña
2009;Abril;52;Neutro
2009;Mayo;37;Neutro
2009;Junio;51;Neutro
2009;Julio;70;Niño
2009;Agosto;21;Niño
2009;Septiembre;25;Niño
2009;Octubre;73;Niño
2009;Noviembre;47;Niño
2009;Diciembre;110;Niño
2010;Enero;707;Niño
2010;Febrero;225;Niño
2010;Marzo;211;Niño
2010;Abril;412;Neutro
2010;Mayo;224;Neutro
2010;Junio;194;Niña
2010;Julio;333;Niña
2010;Agosto;119;Niña
2010;Septiembre;49;Niña
2010;Octubre;66;Niña
2010;Noviembre;42;Niña
2010;Diciembre;40;Niña
2011;Enero;135;Niña
2011;Febrero;30;Niña
2011;Marzo;19;Niña
2011;Abril;26;Niña
2011;Mayo;22;Niña
2011;Junio;16;Neutro
2011;Julio;38;Niña
2011;Agosto;28;Niña
2011;Septiembre;17;Niña
2011;Octubre;30;Niña
2011;Noviembre;22;Niña
2011;Diciembre;41;Niña
2012;Enero;153;Niña
2012;Febrero;43;Niña
2012;Marzo;42;Niña
2012;Abril;67;Neutro
2012;Mayo;46;Neutro
2012;Junio;65;Neutro
2012;Julio;110;Neutro
2012;Agosto;50;Neutro
2012;Septiembre;63;Neutro
2012;Octubre;56;Neutro
2012;Noviembre;78;Neutro
2012;Diciembre;127;Neutro
2013;Enero;573;Neutro
2013;Febrero;148;Neutro
2013;Marzo;212;Neutro
2013;Abril;255;Neutro
2013;Mayo;169;Neutro
2013;Junio;238;Neutro
2013;Julio;337;Neutro
2013;Agosto;191;Neutro
2013;Septiembre;103;Neutro
2013;Octubre;147;Neutro
2013;Noviembre;114;Neutro
2013;Diciembre;129;Neutro
2014;Enero;513;Neutro
2014;Febrero;124;Neutro
2014;Marzo;127;Neutro
2014;Abril;206;Neutro
2014;Mayo;107;Neutro
2014;Junio;124;Neutro
2014;Julio;195;Neutro
2014;Agosto;100;Neutro
2014;Septiembre;94;Neutro
2014;Octubre;180;Neutro
2014;Noviembre;155;Niño
2014;Diciembre;316;Niño
2015;Enero;503;Niño
2015;Febrero;86;Niño
2015;Marzo;79;Niño
2015;Abril;108;Niño
2015;Mayo;70;Niño
2015;Junio;84;Niño
2015;Julio;102;Niño
2015;Agosto;62;Niño
2015;Septiembre;71;Niño
2015;Octubre;121;Niño
2015;Noviembre;189;Niño
2015;Diciembre;356;Niño
2016;Enero;1101;Niño
2016;Febrero;283;Niño
2016;Marzo;353;Niño
2016;Abril;244;Niño
2016;Mayo;147;Niño
2016;Junio;134;Neutro
2016;Julio;123;Neutro
2016;Agosto;75;Niña
2016;Septiembre;31;Niña
2016;Octubre;46;Niña
2016;Noviembre;51;Niña
2016;Diciembre;57;Niña
2017;Enero;105;Neutro
2017;Febrero;25;Neutro
2017;Marzo;25;Neutro
2017;Abril;41;Neutro
2017;Mayo;32;Neutro
2017;Junio;37;Neutro
2017;Julio;49;Neutro
2017;Agosto;33;Neutro
2017;Septiembre;41;Neutro
2017;Octubre;38;Niña
2017;Noviembre;24;Niña
2017;Diciembre;28;Niña
2018;Enero;108;Niña
2018;Febrero;21;Niña
2018;Marzo;35;Niña
2018;Abril;46;Neutro
2018;Mayo;17;Neutro
2018;Junio;55;Neutro
2018;Julio;73;Neutro
2018;Agosto;39;Neutro
2018;Septiembre;46;Neutro
2018;Octubre;59;Niño
2018;Noviembre;62;Niño
2018;Diciembre;85;Niño
2019;Enero;392;Niño
2019;Febrero;130;Niño
2019;Marzo;103;Niño
2019;Abril;177;Niño
2019;Mayo;307;Niño
2019;Junio;168;Niño
2019;Julio;335;Neutro
2019;Agosto;182;Neutro
2019;Septiembre;159;Neutro
2019;Octubre;130;Neutro
2019;Noviembre;203;Niño
2019;Diciembre;163;Niño
2020;Enero;967;Niño
2020;Febrero;188;Niño
2020;Marzo;106;Niño
2020;Abril;75;Neutro
2020;Mayo;72;Neutro
2020;Junio;52;Neutro
2020;Julio;42;Neutro
2020;Agosto;21;Neutro
2020;Septiembre;54;Neutro
2020;Octubre;56;Neutro
2020;Noviembre;49;Neutro
2020;Diciembre;47;Niña
2021;Enero;33;Niña
2021;Febrero;29;Niña
2021;Marzo;25;Niña
2021;Abril;22;Niña
2021;Mayo;15;Niña
2021;Junio;22;Neutro
2021;Julio;20;Neutro
2021;Agosto;40;Niña
2021;Septiembre;31;Niña
2021;Octubre;29;Niña
2021;Noviembre;53;Niña
2021;Diciembre;36;Niña
