Año;Mes;Casos ESI-IRAG;Lluvia Acumulada;Temporada
2009;Enero;55;476,90;Lluvioso
2009;Febrero;74;796,70;Lluvioso
2009;Marzo;149;1092,30;Lluvioso
2009;Abril;303;686,00;Lluvioso
2009;Mayo;264;243,40;
2009;Junio;323;393,40;
2009;Julio;331;354,50;
2009;Agosto;509;252,20;
2009;Septiembre;572;220,00;
2009;Octubre;423;1322,70;Lluvioso
2009;Noviembre;410;665,40;Lluvioso
2009;Diciembre;360;423,50;Lluvioso
2010;Enero;230;96,10;
2010;Febrero;263;216,30;
2010;Marzo;436;215,70;
2010;Abril;510;1429,30;Lluvioso
2010;Mayo;498;1659,70;Lluvioso
2010;Junio;350;685,30;Lluvioso
2010;Julio;188;976,50;Lluvioso
2010;Agosto;1;302,10;
2010;Septiembre;0;494,30;
2010;Octubre;2;1216,50;Lluvioso
2010;Noviembre;69;1738,00;Lluvioso
2010;Diciembre;45;1084,80;Lluvioso
2011;Enero;65;642,30;
2011;Febrero;113;40,25;
2011;Marzo;292;923,55;Lluvioso
2011;Abril;379;1627,80;Lluvioso
2011;Mayo;305;1090,80;Lluvioso
2011;Junio;213;604,10;
2011;Julio;133;445,40;
2011;Agosto;141;355,00;
2011;Septiembre;119;398,00;
2011;Octubre;120;1380,30;Lluvioso
2011;Noviembre;149;1809,60;Lluvioso
2011;Diciembre;129;1323,00;Lluvioso
2012;Enero;85;690,90;Lluvioso
2012;Febrero;201;1178,70;Lluvioso
2012;Marzo;334;985,60;Lluvioso
2012;Abril;310;1434,20;Lluvioso
2012;Mayo;249;287,60;
2012;Junio;126;270,70;
2012;Julio;72;430,50;
2012;Agosto;71;429,30;
2012;Septiembre;99;257,30;
2012;Octubre;90;1069,60;Lluvioso
2012;Noviembre;106;537,00;Lluvioso
2012;Diciembre;70;548,10;Lluvioso
2013;Enero;31;79,20;
2013;Febrero;57;882,20;Lluvioso
2013;Marzo;125;500,00;Lluvioso
2013;Abril;177;1444,60;Lluvioso
2013;Mayo;179;1025,50;Lluvioso
2013;Junio;133;205,60;
2013;Julio;58;296,30;
2013;Agosto;71;453,30;
2013;Septiembre;39;301,50;
2013;Octubre;75;776,40;Lluvioso
2013;Noviembre;81;1363,00;Lluvioso
2013;Diciembre;69;758,00;Lluvioso
2014;Enero;47;382,1;
2014;Febrero;96;658,7;Lluvioso
2014;Marzo;167;959,6;Lluvioso
2014;Abril;140;619,3;Lluvioso
2014;Mayo;127;792;Lluvioso
2014;Junio;94;383,7;
2014;Julio;57;550,9;
2014;Agosto;58;789,6;
2014;Septiembre;57;11,0;
2014;Octubre;41;950,2;Lluvioso
2014;Noviembre;60;1110,1;Lluvioso
2014;Diciembre;55;1101,5;Lluvioso
2015;Enero;26;367,2;
2015;Febrero;36;307,1;
2015;Marzo;59;967,4;Lluvioso
2015;Abril;64;468,1;Lluvioso
2015;Mayo;70;173,9;
2015;Junio;46;603,8;Lluvioso
2015;Julio;39;208,9;
2015;Agosto;37;204,3;
2015;Septiembre;40;692;Lluvioso
2015;Octubre;44;484;Lluvioso
2015;Noviembre;47;1372,1;Lluvioso
2015;Diciembre;37;18,6;
2016;Enero;26;66,6;
2016;Febrero;39;184,3;
2016;Marzo;87;851,7;Lluvioso
2016;Abril;125;1409,9;Lluvioso
2016;Mayo;131;859,3;Lluvioso
2016;Junio;115;258,8;
2016;Julio;86;474,3;
2016;Agosto;72;406,2;
2016;Septiembre;88;678,7;Lluvioso
2016;Octubre;79;843;Lluvioso
2016;Noviembre;62;1885;Lluvioso
2016;Diciembre;38;569,6;Lluvioso
2017;Enero;29;427;
2017;Febrero;61;708,4;Lluvioso
2017;Marzo;130;1392,9;Lluvioso
2017;Abril;133;614,5;Lluvioso
2017;Mayo;105;1394;Lluvioso
2017;Junio;101;797,1;Lluvioso
2017;Julio;60;155,2;
2017;Agosto;42;591,1;
2017;Septiembre;58;290,9;
2017;Octubre;48;669,1;Lluvioso
2017;Noviembre;62;1200,4;Lluvioso
2017;Diciembre;45;579,5;
2018;Enero;34;533,9;
2018;Febrero;70;339,3;
2018;Marzo;97;980,5;Lluvioso
2018;Abril;120;1391;Lluvioso
2018;Mayo;180;1004,8;Lluvioso
2018;Junio;153;315,2;
2018;Julio;70;449,3;
2018;Agosto;64;347,1;
2018;Septiembre;69;282,9;
2018;Octubre;44;618,1;Lluvioso
2018;Noviembre;63;932;Lluvioso
2018;Diciembre;53;19,9;
2019;Enero;25;169,4;
2019;Febrero;42;394;
2019;Marzo;87;840,1;Lluvioso
2019;Abril;151;1240,6;Lluvioso
2019;Mayo;163;1295,3;Lluvioso
2019;Junio;115;766,5;
2019;Julio;66;464,3;
2019;Agosto;66;412,4;
2019;Septiembre;55;754,9;
2019;Octubre;59;1049,7;Lluvioso
2019;Noviembre;46;2036,2;Lluvioso
2019;Diciembre;58;439,7;
2020;Enero;36;354,2;
2020;Febrero;72;1035,5;Lluvioso
2020;Marzo;203;927,6;Lluvioso
2020;Abril;474;736,1;
2020;Mayo;1784;783,3;
2020;Junio;3091;919,3;Lluvioso
2020;Julio;5063;1041,9;Lluvioso
2020;Agosto;132;473,4;
2020;Septiembre;59;980,7;Lluvioso
2020;Octubre;79;397,9;
2020;Noviembre;84;2413,2;Lluvioso
2020;Diciembre;84;880,1;Lluvioso
2021;Enero;64;186,6;
2021;Febrero;63;549,1;
2021;Marzo;113;1310,3;Lluvioso
2021;Abril;143;1061,7;Lluvioso
2021;Mayo;154;1692;Lluvioso
2021;Junio;205;1491,4;Lluvioso
2021;Julio;167;505,2;
2021;Agosto;170;1140,6;Lluvioso
2021;Septiembre;181;628,2;
2021;Octubre;170;1936,4;Lluvioso
2021;Noviembre;151;1646,6;Lluvioso
2021;Diciembre;105;470,8;
