Indicador ;Área;Regimen ;Número casos Hombre;Número casos Mujer;Población  encuestada Hombre;Población  encuestada Mujer;Año
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usaquén;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Chapinero;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Contributivo;6;11;10;13;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Subsidiado ;4;7;9;10;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;No asegurado ;0;1;0;1;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;Especial;0;3;1;3;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Santa Fe;No reporta;0;2;2;7;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;San Cristóbal;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Usme;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Tunjuelito;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Bosa;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Subsidiado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;No asegurado ;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;Especial;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Kennedy;No reporta;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Contributivo;31;74;130;179;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Subsidiado ;3;6;8;13;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;No asegurado ;1;0;2;1;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;Especial;3;2;7;10;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Fontibón;No reporta;2;6;10;15;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Contributivo;0;0;0;0;2015
Prevalencia de  alteración en la salud  por exposición a ruido en población adolescente;Engativá;Subsidiado ;0;0;0;0;2015
