Año;MES;INUNDACIONES;ENCHARCAMIENTOS;DAMNIFICADOS INUNDACIONES;DAMNIFICADOS ENCHARCAMIENTOS
2007;Ene;0;2;0;0
2007;Feb;0;4;0;0
2007;Mar;0;8;0;0
2007;Abr;1;40;3;0
2007;May;0;36;0;25
2007;Jun;1;7;0;0
2007;Jul;2;13;2;6
2007;Ago;5;2;2;0
2007;Sep;0;0;0;0
2007;Oct;3;134;0;78
2007;Nov;15;101;54;23
2008;Dic;0;127;0;1
2008;Ene;0;0;0;0
2008;Feb;0;30;0;1
2008;Mar;5;34;160;2
2008;Abr;2;21;248;0
2008;May;1;32;14;9
2008;Jun;1;12;0;1
2008;Jul;0;6;0;0
2008;Ago;1;5;0;0
2008;Sep;0;0;0;0
2008;Oct;1;18;2;0
2008;Nov;8;43;17;4
2009;Dic;5;26;0;0
2009;Ene;1;5;0;0
2009;Feb;4;61;60;1
2009;Mar;4;35;7;2
2009;Abr;2;25;0;5
2009;May;1;7;2;0
2009;Jun;0;12;0;0
2009;Jul;0;8;0;0
2009;Ago;0;1;0;0
2009;Sep;0;1;0;0
2009;Oct;16;70;1;9
2009;Nov;4;31;4;1
2010;Dic;1;18;0;0
2010;Ene;0;1;0;0
2010;Feb;0;3;0;0
2010;Mar;0;2;0;0
2010;Abr;3;57;2;28
2010;May;5;68;111;8
2010;Jun;0;8;0;0
2010;Jul;2;19;0;0
2010;Ago;0;4;0;3
2010;Sep;0;3;0;2
2010;Oct;19;46;67;11
2010;Nov;23;53;1099;71
2011;Dic;10;24;22;52
2011;Ene;1;24;6;17
2011;Feb;0;50;0;4
2011;Mar;0;47;0;6
2011;Abr;15;114;82;40
2011;May;0;62;0;744
2011;Jun;0;31;0;233
2011;Jul;1;15;0;9
2011;Ago;55;20;1;0
2011;Sep;0;35;0;1
2011;Oct;16;137;28;1
2011;Nov;6;498;21;108
2012;Dic;7;308;0;21344
2012;Ene;1;77;0;2
2012;Feb;1;187;0;16
2012;Mar;1;95;0;24
2012;Abr;2;253;202;134
2012;May;0;3;0;0
2012;Jun;0;0;0;0
2012;Jul;0;8;0;7
2012;Ago;0;15;0;11
2012;Sep;2;7;0;0
2012;Oct;1;46;0;0
2012;Nov;1;46;0;8
2013;Dic;0;16;0;5
2013;Ene;0;0;0;0
2013;Feb;2;8;13;2
2013;Mar;0;21;0;0
2013;Abr;1;25;0;0
2013;May;0;7;0;0
2013;Jun;0;1;0;0
2013;Jul;0;0;0;0
2013;Ago;0;0;0;0
2013;Sep;0;2;0;0
2013;Oct;2;12;13;1
2013;Nov;2;4;0;0
2014;Dic;4;1;0;0
2014;Ene;0;1;0;0
2014;Feb;0;0;0;0
2014;Mar;0;1;0;0
2014;Abr;1;2;0;0
2014;May;0;0;0;0
2014;Jun;3;2;12;11
2014;Jul;0;0;0;0
2014;Ago;1;0;0;0
2014;Sep;1;1;0;0
2014;Oct;2;11;0;0
2014;Nov;8;1;8;0
2015;Dic;5;2;0;0
2015;Ene;1;0;0;0
2015;Feb;0;0;0;0
2015;Mar;1;31;0;0
2015;Abr;2;2;0;0
2015;May;0;0;0;0
2015;Jun;1;0;0;0
2015;Jul;1;0;0;0
2015;Ago;0;0;0;0
2015;Sep;2;0;0;0
2015;Oct;1;11;0;4
2015;Nov;0;36;0;2
2016;Dic;1;0;0;0
2016;Ene;0;0;0;0
2016;Feb;0;0;0;0
2016;Mar;5;8;0;2
2016;Abr;1;26;0;10
2016;May;3;9;0;0
2016;Jun;1;0;0;0
2016;Jul;3;1;0;0
2016;Ago;1;0;0;0
2016;Sep;6;7;0;0
2016;Oct;1;30;0;1
2016;Nov;1;35;0;0
2017;Dic;0;0;0;0
2017;Ene;0;5;0;0
2017;Feb;0;1;0;0
2017;Mar;4;6;0;0
2017;Abr;0;2;0;0
2017;May;6;16;0;0
2017;Jun;2;0;4;0
2017;Jul;0;0;0;0
2017;Ago;0;0;0;0
2017;Sep;0;0;0;0
2017;Oct;0;2;0;0
2017;Nov;1;28;0;4
2018;Dic;2;2;0;0
2018;Ene;2;1;0;0
2018;Feb;0;0;0;0
2018;Mar;0;8;0;139
2018;Abr;2;27;6;18
2018;May;0;5;0;0
2018;Jun;0;0;0;0
2018;Jul;0;0;0;0
2018;Ago;0;0;0;0
2018;Sep;0;12;0;0
2018;Oct;0;13;0;0
2018;Nov;0;26;0;108
2019;Dic;0;2;0;1
2019;Ene;2;1;0;0
2019;Feb;3;13;0;0
2019;Mar;0;32;0;65
2019;Abr;0;32;0;0
2019;May;11;0;0;5
2019;Jun;0;8;0;9
2019;Jul;0;7;0;0
2019;Ago;0;0;0;0
2019;Sep;3;16;0;4
2019;Oct;0;30;0;123
2019;Nov;0;68;0;0
2020;Dic;0;10;0;6
2020;Ene;0;43;0;7
2020;Feb;1;44;0;2
2020;Mar;0;36;0;0
2020;Abr;0;3;0;1
2020;May;0;1;0;0
2020;Jun;0;0;0;0
2020;Jul;0;3;0;0
2020;Ago;0;3;0;0
2020;Sep;0;3;0;0
2020;Oct;0;4;0;0
2020;Nov;0;75;0;42
2021;Dic;0;4;0;0
2021;Ene;0;1;0;0
2021;Feb;0;5;3;0
2021;Mar;0;15;0;0
2021;Abr;0;5;0;0
2021;May;0;11;8;0
2021;Jun;0;22;0;4
2021;Jul;0;7;0;0
2021;Ago;0;13;0;7
2021;Sep;0;3;0;0
2021;Oct;1;38;7;38
2021;Nov;0;40;0;10
2021;Dic;0;0;0;0
