Tema Queja;Año;Área;Número de quejas;Proporción
Contaminación por aire;2013;Usaquén;3;3,1
Contaminación por aire;2013;Chapinero;4;4,2
Contaminación por aire;2013;Santa Fe;0;0
Contaminación por aire;2013;San Cristóbal;0;0
Contaminación por aire;2013;Usme;0;0
Contaminación por aire;2013;Tunjuelito;7;7,3
Contaminación por aire;2013;Bosa;17;17,7
Contaminación por aire;2013;Kennedy;19;19,8
Contaminación por aire;2013;Fontibón;5;5,2
Contaminación por aire;2013;Engativá;10;10,4
Contaminación por aire;2013;Suba;5;5,2
Contaminación por aire;2013;Barrios Unidos;3;3,1
Contaminación por aire;2013;Teusaquillo;3;3,1
Contaminación por aire;2013;Los Mártires;0;0
Contaminación por aire;2013;Antonio Nariño;0;0
Contaminación por aire;2013;Puente Aranda;6;6,3
Contaminación por aire;2013;La Candelaria;0;0
Contaminación por aire;2013;Rafael Uribe Uribe;2;2,1
Contaminación por aire;2013;Ciudad Bolívar;12;12,5
Contaminación por aire;2013;Distrito;96;100
Humo de tabaco;2013;Usaquén;5;13,5
Humo de tabaco;2013;Chapinero;6;16,2
Humo de tabaco;2013;Santa Fe;1;2,7
Humo de tabaco;2013;San Cristóbal;0;0
Humo de tabaco;2013;Usme;0;0
Humo de tabaco;2013;Tunjuelito;2;5,4
Humo de tabaco;2013;Bosa;2;5,4
Humo de tabaco;2013;Kennedy;3;8,1
Humo de tabaco;2013;Fontibón;4;10,8
Humo de tabaco;2013;Engativá;2;5,4
Humo de tabaco;2013;Suba;2;5,4
Humo de tabaco;2013;Barrios Unidos;1;2,7
Humo de tabaco;2013;Teusaquillo;2;5,4
Humo de tabaco;2013;Los Mártires;2;5,4
Humo de tabaco;2013;Antonio Nariño;0;0
Humo de tabaco;2013;Puente Aranda;1;2,7
Humo de tabaco;2013;La Candelaria;1;2,7
Humo de tabaco;2013;Rafael Uribe Uribe;3;8,1
Humo de tabaco;2013;Ciudad Bolívar;0;0
Humo de tabaco;2013;Distrito;37;100
Olores ofensivos;2013;Usaquén;0;0
Olores ofensivos;2013;Chapinero;3;10,7
Olores ofensivos;2013;Santa Fe;0;0
Olores ofensivos;2013;San Cristóbal;0;0
Olores ofensivos;2013;Usme;0;0
Olores ofensivos;2013;Tunjuelito;2;7,1
Olores ofensivos;2013;Bosa;9;32,1
Olores ofensivos;2013;Kennedy;5;17,9
Olores ofensivos;2013;Fontibón;3;10,7
Olores ofensivos;2013;Engativá;2;7,1
Olores ofensivos;2013;Suba;0;0
Olores ofensivos;2013;Barrios Unidos;1;3,6
Olores ofensivos;2013;Teusaquillo;3;10,7
Olores ofensivos;2013;Los Mártires;0;0
Olores ofensivos;2013;Antonio Nariño;0;0
Olores ofensivos;2013;Puente Aranda;0;0
Olores ofensivos;2013;La Candelaria;0;0
Olores ofensivos;2013;Rafael Uribe Uribe;0;0
Olores ofensivos;2013;Ciudad Bolívar;0;0
Olores ofensivos;2013;Distrito;28;100
Contaminación por ruido;2013;Usaquén;8;9,5
Contaminación por ruido;2013;Chapinero;4;4,8
Contaminación por ruido;2013;Santa Fe;2;2,4
Contaminación por ruido;2013;San Cristóbal;1;1,2
Contaminación por ruido;2013;Usme;1;1,2
Contaminación por ruido;2013;Tunjuelito;1;1,2
Contaminación por ruido;2013;Bosa;9;10,7
Contaminación por ruido;2013;Kennedy;18;21,4
Contaminación por ruido;2013;Fontibón;8;9,5
Contaminación por ruido;2013;Engativá;7;8,3
Contaminación por ruido;2013;Suba;3;3,6
Contaminación por ruido;2013;Barrios Unidos;4;4,8
Contaminación por ruido;2013;Teusaquillo;2;2,4
Contaminación por ruido;2013;Los Mártires;6;7,1
Contaminación por ruido;2013;Antonio Nariño;0;0
Contaminación por ruido;2013;Puente Aranda;4;4,8
Contaminación por ruido;2013;La Candelaria;0;0
Contaminación por ruido;2013;Rafael Uribe Uribe;6;7,1
Contaminación por ruido;2013;Ciudad Bolívar;0;0
Contaminación por ruido;2013;Distrito;84;100
Radiaciones electromagnéticas;2013;Usaquén;15;19,2
Radiaciones electromagnéticas;2013;Chapinero;8;10,3
Radiaciones electromagnéticas;2013;Santa Fe;2;2,6
Radiaciones electromagnéticas;2013;San Cristóbal;2;2,6
Radiaciones electromagnéticas;2013;Usme;1;1,3
Radiaciones electromagnéticas;2013;Tunjuelito;1;1,3
Radiaciones electromagnéticas;2013;Bosa;0;0
Radiaciones electromagnéticas;2013;Kennedy;8;10,3
Radiaciones electromagnéticas;2013;Fontibón;4;5,1
Radiaciones electromagnéticas;2013;Engativá;11;14,1
Radiaciones electromagnéticas;2013;Suba;10;12,8
Radiaciones electromagnéticas;2013;Barrios Unidos;0;0
Radiaciones electromagnéticas;2013;Teusaquillo;5;6,4
Radiaciones electromagnéticas;2013;Los Mártires;1;1,3
Radiaciones electromagnéticas;2013;Antonio Nariño;0;0
Radiaciones electromagnéticas;2013;Puente Aranda;2;2,6
Radiaciones electromagnéticas;2013;La Candelaria;5;6,4
Radiaciones electromagnéticas;2013;Rafael Uribe Uribe;3;3,8
Radiaciones electromagnéticas;2013;Ciudad Bolívar;0;0
Radiaciones electromagnéticas;2013;Distrito;78;100
Contaminación por aire;2014;Usaquén;4;4,5
Contaminación por aire;2014;Chapinero;4;4,5
Contaminación por aire;2014;Santa Fe;3;3,4
Contaminación por aire;2014;San Cristóbal;2;2,3
Contaminación por aire;2014;Usme;0;0
Contaminación por aire;2014;Tunjuelito;2;2,3
Contaminación por aire;2014;Bosa;14;15,9
Contaminación por aire;2014;Kennedy;18;20,5
Contaminación por aire;2014;Fontibón;0;0
Contaminación por aire;2014;Engativá;5;5,7
Contaminación por aire;2014;Suba;3;3,4
Contaminación por aire;2014;Barrios Unidos;2;2,3
Contaminación por aire;2014;Teusaquillo;3;3,4
Contaminación por aire;2014;Los Mártires;3;3,4
Contaminación por aire;2014;Antonio Nariño;3;3,4
Contaminación por aire;2014;Puente Aranda;9;10,2
Contaminación por aire;2014;La Candelaria;2;2,3
Contaminación por aire;2014;Rafael Uribe Uribe;0;0
Contaminación por aire;2014;Ciudad Bolívar;11;12,5
Contaminación por aire;2014;Distrito;88;100
Humo de tabaco;2014;Usaquén;3;7,3
Humo de tabaco;2014;Chapinero;5;12,2
Humo de tabaco;2014;Santa Fe;4;9,8
