Indicador;Área;Régimen;Hombres con presencia del evento;Mujeres con presencia del evento;Hombres encuestado;Mujeres encuestada;Año
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Contributivo;37;41;176;177;2013
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Subsidiado ;11;7;43;40;2013
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;No asegurado ;0;3;4;6;2013
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Especial;4;6;16;18;2013
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Contributivo;7;11;71;80;2013
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Subsidiado ;5;6;66;68;2013
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Especial;0;0;1;1;2013
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Contributivo;1;2;24;17;2013
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Subsidiado ;0;4;24;36;2013
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;No asegurado ;1;0;3;3;2013
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Especial;0;0;2;1;2013
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Contributivo;21;21;153;127;2013
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Subsidiado ;8;8;57;73;2013
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;No asegurado ;1;1;6;4;2013
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Especial;0;1;4;9;2013
Prevalencia de sibilancia en niños menores de 5 años;Usme;Contributivo;10;4;225;195;2013
Prevalencia de sibilancia en niños menores de 5 años;Usme;Subsidiado ;9;7;110;88;2013
Prevalencia de sibilancia en niños menores de 5 años;Usme;No asegurado ;0;0;3;5;2013
Prevalencia de sibilancia en niños menores de 5 años;Usme;Especial;2;0;17;17;2013
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Contributivo;28;22;111;92;2013
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Subsidiado ;18;23;93;121;2013
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;No asegurado ;1;0;2;1;2013
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Especial;0;0;0;0;2013
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Contributivo;53;33;223;208;2013
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Subsidiado ;24;20;127;123;2013
Prevalencia de sibilancia en niños menores de 5 años;Bosa;No asegurado ;0;1;5;10;2013
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Especial;0;0;8;5;2013
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Contributivo;20;7;66;46;2013
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Subsidiado ;2;5;19;22;2013
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;No asegurado ;0;0;1;2;2013
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Especial;0;1;2;3;2013
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Contributivo;10;5;122;112;2013
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Subsidiado ;8;7;67;62;2013
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;No asegurado ;1;0;3;7;2013
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Especial;0;0;2;5;2013
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Contributivo;20;15;171;153;2013
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Subsidiado ;2;5;30;34;2013
Prevalencia de sibilancia en niños menores de 5 años;Engativá;No asegurado ;0;1;2;5;2013
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Especial;1;0;7;7;2013
Prevalencia de sibilancia en niños menores de 5 años;Suba;Contributivo;26;12;141;114;2013
Prevalencia de sibilancia en niños menores de 5 años;Suba;Subsidiado ;11;8;77;80;2013
Prevalencia de sibilancia en niños menores de 5 años;Suba;No asegurado ;0;1;2;3;2013
Prevalencia de sibilancia en niños menores de 5 años;Suba;Especial;0;0;3;2;2013
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Contributivo;4;4;89;89;2013
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Subsidiado ;4;1;45;35;2013
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;No asegurado ;0;0;2;1;2013
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Especial;0;0;1;1;2013
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Contributivo;13;2;118;98;2013
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Subsidiado ;0;0;20;9;2013
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;No asegurado ;0;0;1;0;2013
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Especial;0;0;5;1;2013
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Contributivo;2;1;12;14;2013
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Subsidiado ;4;9;92;92;2013
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;No asegurado ;0;0;4;5;2013
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Especial;0;0;0;1;2013
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Contributivo;12;10;77;60;2013
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Subsidiado ;1;4;25;20;2013
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;No asegurado ;0;1;2;3;2013
